threatened_plant_id,conservation_status,provenance,weed_rating,habit,germplasm_source,conservation_benefit,local_benefits_description,horticultural_potential
3140,Endangered,Indigenous to Greater Melbourne,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3141,Endangered,Indigenous to Greater Melbourne,*High Risk,Grass or Grasslike,Currently held in collection,Genotyped Collection,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3142,Critically Endangered,Indigenous to Greater Melbourne,Low Risk,Herbaceous Perennial,Not held in collection moderately difficult to collect,,Culturally Important to Traditional Owners / and or local community,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3143,Endangered,Indigenous to Greater Melbourne,Low Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3144,Critically Endangered,Indigenous to Greater Melbourne,Medium Risk,Small Shrub less than 1 metre,Not held in collection but easily obtained,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3145,Critically Endangered,Indigenous to Greater Melbourne,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3146,Vulnerable,Indigenous to Greater Melbourne,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3147,Endangered,Native to Victoria,Medium Risk,Small Tree less than 10 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3148,Critically Endangered,Native to Victoria,Medium Risk,Large Shrub above 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3149,Critically Endangered,Native to Victoria,Low Risk,Climber,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3150,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3151,Endangered,Native to Victoria,Medium Risk,Grass or Grasslike,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3152,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3153,Endangered,Native to Victoria,Medium Risk,Large Shrub more than 3 metres to Medium Tree 10 to 20 metres,Currently held in collection,Genotyped Collection,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3154,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3155,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Not held in collection moderately difficult to collect,Genotyped Collection,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3156,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3157,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,Suited to Green infrastructure Projects (Rain Gardens),Highly ornamental - feature plants
3158,Vulnerable,Native to Victoria,Medium Risk,Annual,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3159,Endangered,Native to Victoria,Low Risk,Annual,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3160,Vulnerable,Native to Victoria,Medium Risk,Herbaceous Perennial,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3161,Endangered,Native to Victoria,Low Risk,Prostrate,Currently held limited propagation material,"Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3162,Vulnerable,Native to Victoria,Medium Risk,Large Tree above 20 metres,Currently held in collection,,,Highly ornamental - feature plants
3163,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3164,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3165,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3166,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3167,Endangered,Native to Victoria,Low Risk,Large Shrub above 3 metres,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3168,Vulnerable,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3169,Critically Endangered,Native to Victoria,Medium Risk,Small Tree less than 10 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3170,Critically Endangered,Native to Victoria,Low Risk,Small Tree less than 10 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3171,Vulnerable,Native to Victoria,Medium Risk,Small Tree less than 10 metres to Medium Tree 10 to 20 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3172,Critically Endangered,Native to Victoria,Low Risk,Small Tree less than 10 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3173,Endangered,Native to Victoria,Low Risk,Large Shrub above 3 metres,Currently held in collection,Bushfire Recovery,Good Story,Highly ornamental - feature plants
3174,Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3175,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,Currently held in collection,Genotyped Collection,,Highly ornamental - feature plants
3176,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,"Bushfire Recovery, Genotyped Collection",,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3177,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,"Bushfire Recovery, Genotyped Collection",,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3178,Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3179,Endangered,Native to Victoria,Medium Risk,Large Shrub above 3 metres,Currently held in collection,Bushfire Recovery,,Highly ornamental - feature plants
3180,Critically Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Not held in collection but easily obtained,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3181,Endangered,Indigenous to Greater Melbourne,Low Risk,Grass or Grasslike,Not held in collection but easily obtained,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3182,Endangered,Native to Victoria,Medium Risk,Herbaceous Perennial,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3183,Critically Endangered,Native to Victoria,Low Risk,Medium Tree 10 to 20 metres,Currently held limited propagation material,,Good Story,Highly ornamental - feature plants
3184,Endangered,Native to Victoria,Medium Risk,Grass or Grasslike,Not held in collection but easily obtained,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3185,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Highly ornamental - feature plants
3186,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3187,Endangered,Native to Victoria,Medium Risk,Grass or Grasslike,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3188,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3189,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Highly ornamental - feature plants
3190,Vulnerable,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3191,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Highly ornamental - feature plants
3192,Endangered,Native to Victoria,Low Risk,Grass or Grasslike,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3193,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3194,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3195,Endangered,Native to Victoria,Low Risk,Large Shrub above 3 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3196,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3197,Endangered,Native to Victoria,Medium Risk,Herbaceous Perennial,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3198,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3199,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3200,Vulnerable,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
